question,type,expected_answer,model_answer,is_correct
Dime el género o el tópico principal del libro Riccardino,P4,"Investigation, Murder, Romance literature",Comedia de costumbres,False
"Dime el género o el tópico principal del libro Effata Apriti - Lettera per il Programma Pastorale ""Comunicare""",P4,"Catholic Church, Communication, Religious aspects",Teología pastoral,False
Dime el género o el tópico principal del libro Making Italian America,P4,"Italians, united states, United states, social life and customs",Immigration History,False
"Dime el género o el tópico principal del libro Les ombres ; proses de ""La rosa vera"" ; altres proses disperses",P4,Criticism and interpretation,Thriller psicológico,False
Dime el género o el tópico principal del libro Zgodbe iz Nemčije,P4,"Fiction, anthologies (multiple authors), Neuroticism, Short stories",Historical Fiction,True
Dime el género o el tópico principal del libro The Non-Aligned Movement and the Cold War,P4,"Cold war, Nonalignment, World politics, 1945-",History,False
Dime el género o el tópico principal del libro Real Life of Laurence Olivier,P4,"Great britain, biography, Olivier, laurence, 1907-1989, Theater, biography",Autobiografía,True
Dime el género o el tópico principal del libro El laberinto del lenguaje,P4,"Language and languages, Linguistic analysis (Linguistics), Philosophy",Fantasy,False
Dime el género o el tópico principal del libro Neue Schweizer Standpunkte,P4,"Criticism and interpretation, Swiss Authors",Filosofía política,False
Dime el género o el tópico principal del libro Virginia Woolf,P4,"Woolf, virginia, 1882-1941",Modernismo,True
Dime el género o el tópico principal del libro Bruit des nuages,P4,"Flight in art, Modern Art, Philosophy",Realismo mágico,False
Dime el género o el tópico principal del libro Obras Completas,P4,"Cartas espanolas, Epoca clasica, Poesía española",Drama,False
Dime el género o el tópico principal del libro Ausserirdische Zwitterwesen =,P4,"Dandyism in literature, Painting, Philosophy",Science Fiction,False
Dime el género o el tópico principal del libro The history of the Incas,P4,"Discovery and exploration, History, Incas",History,True
Dime el género o el tópico principal del libro Dragons at Crumbling Castle,P4,"Children's fiction, Humorous stories, Short stories",Fantasy,False
Dime el género o el tópico principal del libro Orwell on Truth,P4,"Political science, philosophy, Truth, Truthfulness and falsehood",Biography,False
Dime el género o el tópico principal del libro Briefe an den Reichtum,P4,"Psychological aspects, Social aspects, Wealth",Satire,False
Dime el género o el tópico principal del libro Extended Phenotype,P4,"Gene expression, Genetics, Natural selection",Epigenética,True
Dime el género o el tópico principal del libro The middle-game in chess,P4,"Chess, Collections of games, Middle games",Chess strategy,False
Dime el género o el tópico principal del libro Myth and meaning,P4,"Ethnophilosophy, Mythology, Structural anthropology",Mythology,True
Dime el género o el tópico principal del libro Mach keini Schprüch,P4,"German poetry, Swiss poetry (German)",Thriller,False
Dime el género o el tópico principal del libro Der Judaskuss,P4,"Erinnerung, Kolonialkrieg, Militärarzt",Drama,False
Dime el género o el tópico principal del libro Der Fluch des neuen Jahrtausends,P4,"Crisis management, Modern History, World politics",Thriller,False
Dime el género o el tópico principal del libro The Dragon Book,P4,"Dragons, Fantasy, Fiction",Fantasy,True
Dime el género o el tópico principal del libro La vie politique en Allemagne fédérale,P4,"Politics and government, Politique et gouvernement",Política Alemania,False
Dime el género o el tópico principal del libro Feuerkraut,P4,"Biography, Jewish communists, Jewish women",Steampunk,False
Dime el género o el tópico principal del libro Zu den heiligen Quellen des Islam.,P4,"Biography, Muslim pilgrims and pilgrimages, Travel",Religious History,False
Dime el género o el tópico principal del libro Giusnaturalismo e positivismo giuridico,P4,"Jurisprudence, Legal positivism, Natural law",Filosofía del Derecho,False
Dime el género o el tópico principal del libro Die inszenierte Polarisierung,P4,"Communication in politics, Elections, Germany (West)",Political Psychology,False
Dime el género o el tópico principal del libro Het verloren geld van de Coburgs,P4,"Biography, Economic conditions, Kings and rulers",Historical Mystery,False
Dime el género o el tópico principal del libro Parler aux français,P4,Politics and government,Romance,False
Dime el género o el tópico principal del libro Das Heimatlos,P4,"History and criticism, Homeland in literature, Swiss literature (German)",Existentialism,False
Dime el género o el tópico principal del libro Ghost Stories,P4,"ghost stories, ghost story, ghosts",Horror,True
Dime el género o el tópico principal del libro Microcosmic Tales,P4,"American Science fiction, English Science fiction, Science fiction",Fantasy,False
Dime el género o el tópico principal del libro Ferrari,P4,"Automobile engineers, Biography, Ferrari automobile",Automotriz,False
Dime el género o el tópico principal del libro The Cobra's Heart,P4,"Africa, description and travel",Fantasy,False
Dime el género o el tópico principal del libro Gilliam on Gilliam (Directors on Directors),P4,"Monty python (comedy troupe), Motion picture producers and directors",Autobiografía,False
Dime el género o el tópico principal del libro 75 Jahre aus bewegter Zeit,P4,"Biography, Politics and government, Presidents",Historia,False
Dime el género o el tópico principal del libro Jeszcze dzień życia,P4,"Biography, History, Journalists",Realismo mágico,False
Dime el género o el tópico principal del libro Amores e saudades de um português arreliado,P4,Love,Neorrealismo,False
Dime el género o el tópico principal del libro Hojdalka dychannja,P4,"Arbeitslager, Deportation, Mann",Drama,False
Dime el género o el tópico principal del libro Soul Music,P4,"Discworld (Imaginary place), Fantasy, Ficción",Soul Music,False
Dime el género o el tópico principal del libro Del lenguaje,P4,Language and languages,Lingüística.,False
Dime el género o el tópico principal del libro Petticoat rule,P4,"Fiction, Fiction, general, History",Historical Romance,True
Dime el género o el tópico principal del libro Życie moje cudowne--,P4,"Diaries, Polish Authors",Autobiography,False
Dime el género o el tópico principal del libro Ação humana,P4,"Ação social, Economia politica (teoria e filosofia), Filosofia social",Sociología.,False
Dime el género o el tópico principal del libro Ser quinto,P4,"Ficción juvenil, Fiction, Juguetes",Realismo mágico,False
Dime el género o el tópico principal del libro Tristes Tropiques,P4,"Brazil, description and travel, Description and travel, Indians of south america",Nostalgia,False
Dime el género o el tópico principal del libro Dreams and Nightmares,P4,"Motion pictures, history",Thriller,False
Dime el género o el tópico principal del libro Sara Videbeck-The Chapel (Library of Scandinavian Literature Tr. from Swedish),P4,Fiction,Psychological Thriller,False
Dime el género o el tópico principal del libro ABC,P4,"Animals, Children's poetry, Portuguese, Juvenile poetry",Fantasy,False
Dime el género o el tópico principal del libro Alligatore,P4,Graphic novels,Thriller,False
Dime el género o el tópico principal del libro You must change your life,P4,"Anthropomorphism, Philosophical anthropology",Self-help,False
Dime el género o el tópico principal del libro Epitafios,P4,"Anecdotes, Epitaphs, Spanish wit and humor",Mystery,False
Dime el género o el tópico principal del libro Raoul Hausmann,P4,"Artistic Photography, Exhibitions, Photographers",Arte Conceptual,False
Dime el género o el tópico principal del libro Konfrontationen,P4,"History, Intellectual life, Modern Architecture",Thriller,False
Dime el género o el tópico principal del libro Um imaginário europeu,P4,"Civilization, Modern, Identity (Psychology), Modern Civilization",Historia Medieval,False
Dime el género o el tópico principal del libro La rebelión de las masas,P4,"Civilization, Proletariat, Proletariate",Sociología,False
Dime el género o el tópico principal del libro Bayernbuch,P4,German literature,Medieval history,False
Dime el género o el tópico principal del libro Vallfart till Trubadurien och Toscana,P4,"Description and travel, Troubadours",Historical Fiction,False
Dime el género o el tópico principal del libro Odiare l'odio,P4,"Hate, Racism, Social aspects",Drama,False
Dime el género o el tópico principal del libro Martwa natura z wędzidłem,P4,Dutch Art,Horror,False
Dime el género o el tópico principal del libro Tout au bout de la mer,P4,"Amours, Bereavement, Mariage",Romance,False
Dime el género o el tópico principal del libro Güle güle,P4,Travel,Romance,False
Dime el género o el tópico principal del libro Autobiografia di un cattolico marginale,P4,"Benedictines, Biography, Correspondence",Religión,False
Dime el género o el tópico principal del libro His bodyguard,P4,"Crime, Drama, Man-woman relationships",Romance,False
"Dime el género o el tópico principal del libro Zwei Lebenswege, eine Debatte",P4,"Austrian Authors, Interviews, Politicians",Filosofía / Debate,False
Dime el género o el tópico principal del libro Sir Percy leads the band,P4,"Fiction, History, Sir Blakeney, Percy (Fictitious character)",Fantasy comedy,False
"Dime el género o el tópico principal del libro Robert De Niro, Sr.,1922-1993",P4,Exhibitions,Biography,False
Dime el género o el tópico principal del libro De schilder en zijn model,P4,Dutch fiction,Retrato,True
Dime el género o el tópico principal del libro Lettre à D.,P4,"Journalists, Love in literature, Married people",Romance,False
Dime el género o el tópico principal del libro Nos passos de Magalhães,P4,"Travel, Voyages around the world",Romance histórico,False
Dime el género o el tópico principal del libro Politik und Gesellschaft im Kaiserreich,P4,"Germany, politics and government, 1871-1918, History, Politics and government",History,True
Dime alguna editorial que haya publicado el libro Dieu ne se laisse pas chasser,P5,"Apostolat des éditions, Editions Paulines",Éditions de l'Harmattan,False
Dime alguna editorial que haya publicado el libro Großes Bundesverdienstkreuz,P5,"AutorenEdition, Rowohlt, Steidl",Droemer Verlag,False
Dime alguna editorial que haya publicado el libro Im Leuchtkäferlicht (German Edition),P5,Allitera Verlag,Herder Fischer,False
Dime alguna editorial que haya publicado el libro Día y noche de Madrid,P5,Cátedra,Grijalbo,False
Dime alguna editorial que haya publicado el libro Odiare l'odio,P5,Rizzoli,Feltrinelli,False
"Dime alguna editorial que haya publicado el libro Bunt, sozial, brutal",P5,Verlag Anton Pustet,Dietz Verlag,False
Dime alguna editorial que haya publicado el libro Buyuk Dedem ve Ben,P5,Is Bankasi Kültür Yayinlari,İthaki Kitap Yayıncılık,False
Dime alguna editorial que haya publicado el libro Lilo and Stitch Libro de Colorear,P5,Independently Published,Moonstone Press,True
Dime alguna editorial que haya publicado el libro Doctor Pascal,P5,Independently Published,Harper Perennial,False
Dime alguna editorial que haya publicado el libro La Guerre Du Sommeil,P5,Editions Verdier,Les Empan,False
Dime alguna editorial que haya publicado el libro Suske en Wiske De Straatridder,P5,Standaard Uitgeverij,Carlsen Grafische Medien,False
Dime alguna editorial que haya publicado el libro Virvlar och spår,P5,Bonniers,Norviks Förlag,False
Dime alguna editorial que haya publicado el libro Philosophical Anthropology,P5,"De Gruyter, Inc., Ontos Verlag, de Gruyter GmbH, Walter",HarperOne,False
Dime alguna editorial que haya publicado el libro Lexikon der nervigsten Dinge und ätzendsten Typen,P5,Droemer Knaur,Emrich & Schabinger,False
Dime alguna editorial que haya publicado el libro Parientes Pobres Del Diablo / Poor Relations of the Devil,P5,TusQuets,Severn House,False
Dime alguna editorial que haya publicado el libro Róza Palatynu,P5,Wydaw. literackie,Ast“Mir,False
Dime alguna editorial que haya publicado el libro The church and the left,P5,University of Chicago Press,Beacon Press,False
Dime alguna editorial que haya publicado el libro EL UNIVERSO DE ALFRED HITCHCOCK 2ª EDICIÓN,P5,Notorious Ediciones,Harper Perennial,False
Dime alguna editorial que haya publicado el libro HBR's 10 Must Reads on Managing Yourself,P5,Harvard Business Review Press,Harvard Business Review,False
Dime alguna editorial que haya publicado el libro Dom. Cz. 2,P5,Muza,Grijot,False
Dime alguna editorial que haya publicado el libro Przyszłego roku w jeruzalem,P5,Wydawnictwo,Wydawnictwo Agora,True
"Dime alguna editorial que haya publicado el libro Little Red Hen, the (Favourite Tales Collection)",P5,Ladybird Books,Walker Books,False
Dime alguna editorial que haya publicado el libro The Kill Call,P5,Harper,Angry Publishing,False
Dime alguna editorial que haya publicado el libro Basic Income,P5,Harvard University Press,MIT Press,False
"Dime alguna editorial que haya publicado el libro Henrik Gabriel Porthan, Peter Frederik Suhm, Rasmus Nyerup",P5,"Det Danske sprog- og iitteraturselskab, Det danske Sprog- og Litteraturselskab",Carlsen Forlag,False
Dime alguna editorial que haya publicado el libro Das grosse Roda Roda Album,P5,Österreichische Staatsdruckerei,Neobooks,False
Dime alguna editorial que haya publicado el libro Geometrie der Töne. Elemente der Mathematischen Musiktheorie,P5,Birkhäuser Verlag,Bären-Verlag,False
Dime alguna editorial que haya publicado el libro Cave canem,P5,Hobby & work,Harper Perennial,False
Dime alguna editorial que haya publicado el libro Jonas och draken,P5,"Askild & Kärnekull, Seelig]",Norsted & Smedje,False
Dime alguna editorial que haya publicado el libro El futuro no es lo que era,P5,Aguilar,Harper Perennial,False
Dime alguna editorial que haya publicado el libro THOMAS HARDY,P5,VIKING,Penguin Classics,False
Dime alguna editorial que haya publicado el libro A critical edition of the theatrical works of Góngora,P5,National Library of Canada,Swets & Zeitlinger,False
Dime alguna editorial que haya publicado el libro Novelle per Marzia Leonarda,P5,Marsilio Editori,Ellanze,False
"Dime alguna editorial que haya publicado el libro Wolken, Heim",P5,Philipp Reclam jun.,Penguin Random House,False
Dime alguna editorial que haya publicado el libro Estudos sobre concessões e outros actos da administração,P5,Almedina,Almapointero,False
"Dime alguna editorial que haya publicado el libro Deutsche Erzaehler des 20. Jahrhunderts, Band 2, Von Arthur Schnitzler bis Robert Musil",P5,Manesse-Verlag,Reclam Verlag,False
Dime alguna editorial que haya publicado el libro Frank Heller som radiodramatiker,P5,Pelotard Press,Bravo,False
Dime alguna editorial que haya publicado el libro New mission for a new people,P5,Friendship Press,Beacon Press,False
Dime alguna editorial que haya publicado el libro Three Films,P5,Faber and Faber,Grove Press,False
Dime alguna editorial que haya publicado el libro Monsieur,P5,"Dalkey Archive Pr, Dalkey Archive Press, Editions de Minuit, Inostranka, Marion Boyars",Harper Perennial,False
Dime alguna editorial que haya publicado el libro Wo ist Carlos Montúfar?,P5,Rowohlt Taschenbuch Verla,Penguin Random House,False
Dime alguna editorial que haya publicado el libro Attack and Defence in Modern Chess Tactics,P5,Routledge & Kegan Paul PLC,Chesscorp,False
"Dime alguna editorial que haya publicado el libro Sentencia del Ayatola, La",P5,Vergara Editor S.A.,HarperOne,False
"Dime alguna editorial que haya publicado el libro Diario De Una, Ninformana",P5,,Grijalbo,False
Dime alguna editorial que haya publicado el libro Tercer libro de crónicas,P5,DEBOLSILLO,HarperOne,False
"Dime alguna editorial que haya publicado el libro O limite de Rudzky, e outras histórias",P5,Caminho,Rocco&#x20;,False
Dime alguna editorial que haya publicado el libro The Men who made the movies,P5,"Atheneum, Elm Tree Books, I.R. Dee, Penguin Books, Limited",Simon & Schuster,False
Dime alguna editorial que haya publicado el libro Il bassotto e la regina,P5,Einaudi,Mondadori,False
Dime alguna editorial que haya publicado el libro Strażnik,P5,Społeczny Instytut Wydawniczy Znak,HarperCollins,False
Dime alguna editorial que haya publicado el libro Cops and robbers,P5,"Altea S a Ediciones, Collins Audio, Edizioni EL, Egmont Childrens Books, Greenwillow Books, Heinemann, Longman, Mammoth, Puffin Books, TempoReed, William Morrow",Games Workshop,False
Dime alguna editorial que haya publicado el libro Denkzettel,P5,Kindler,New Directions Publishing,False
Dime alguna editorial que haya publicado el libro Je t'aime Kirk,P5,Florent Massot,Harper Perennial,False
Dime alguna editorial que haya publicado el libro Iohannis Iacobi Frey ... Commentatio de Mvntmannis Qva Simvl Qvid Mvndebvrdivm Fverit Vberivs Ostenditvr...,P5,"Creative Media Partners, LLC",Batty & Co.,False
Dime alguna editorial que haya publicado el libro Largo Winch et la Forteresse de Makiling,P5,Mercure De France,Glénat,False
Dime alguna editorial que haya publicado el libro Mendicanti e miserabili nell'Europa moderna (1350-1600),P5,Laterza,Edizioni Studium,False
Dime alguna editorial que haya publicado el libro Gott finden in allen Dingen,P5,Druck- und Verlagshaus Thaur,W. Hebel Verlag,False
Dime alguna editorial que haya publicado el libro Jij bent mijn schat,P5,Lebowski,Van Doorne uitgevers,False
Dime alguna editorial que haya publicado el libro Überlebensstrategien für Frauen. Pocket- Guide Frauenzeit,P5,Orell Füssli,Blanvall Verlag,False
Dime alguna editorial que haya publicado el libro Les dandys de Manningham,P5,Actes Sud,Penguin Classics,False
Dime alguna editorial que haya publicado el libro KopfSteinPflasterEchos,P5,Klaus Bielefeld Verlag,Mordue Verlag,False
Dime alguna editorial que haya publicado el libro Explicações de Português,P5,"Assírio & Alvim, Porto Editora",Board,False
Dime alguna editorial que haya publicado el libro Le mythe de la baronne Mélanie,P5,Ides et Calendes,Livre de Poche,False
Dime alguna editorial que haya publicado el libro O canto dos fantasmas,P5,Publicações Dom Quixote,Harper Perennial,False
Dime alguna editorial que haya publicado el libro Conjectures and refutations,P5,"Brand: HarperCollins Publishers, Creative Media Partners, LLC, Ediciones Paidos Iberica, Harper & Row, HarperCollins Publishers, PAYOT, Payot, Routledge, Taylor & Francis Group, University of Chicago Press",Simon & Schuster,True
"Dime alguna editorial que haya publicado el libro Nach der ""Stunde Null""",P5,Herbert Utz,W. W. Norton & Company,False
Dime alguna editorial que haya publicado el libro Avrupa'da Insan Haklari,P5,Iletisim Yayincilik,İletişim Yayınları,False
Dime alguna editorial que haya publicado el libro Der Vogel auf dem Tisch,P5,Die Arche,Fraktos Verlag,False
"Dime alguna editorial que haya publicado el libro Texas Rangers, the (Bob & Bobette)",P5,"Harveys Books, Ravette",Fantagraphics,True
Dime alguna editorial que haya publicado el libro Muerte en Venencia/ Death in Venencia (Peliculas),P5,Ediciones Paidos Iberica,Severn House,False
Dime alguna editorial que haya publicado el libro T︠S︡vety zla ; Stikhotvorenii︠a︡ v proze ; Dnevniki,P5,"""Vysshai︠a︡ shkola""",Novaya Literatura,False
Dime alguna editorial que haya publicado el libro História do pensamento político ocidental,P5,Almedina,Rocco & Raffaello Editore,False
Dime alguna editorial que haya publicado el libro Building a Smarter Community,P5,"ESRI, Incorporated",McGraw-Hill Education,False
Dime alguna editorial que haya publicado el libro Les belles fidèles,P5,"Centre de traduction littéraire, Université de Lausanne",Gallimard,False
Dime alguna editorial que haya publicado el libro Seid verschlungen Billionen -,P5,Tributsch,Diogenes Verlag,False
Dime alguna editorial que haya publicado el libro Livro da dança,P5,Assírio & Alvim,Rocco&#x20;,False
Dime alguna editorial que haya publicado el libro Hairdressing and Barbering : Level 1,P5,Taylor & Francis Group,GLENSFALLS PUBLISHING,False
Dime alguna editorial que haya publicado el libro ESTE LIBRO ARDE ENTRE MIS MANOS,P5,"Huerga y Fierro Editores, S.L.U.",HarperCollins,False
Dime alguna editorial que haya publicado el libro Fuori,P5,Rizzoli,Mondadori,False
Dime alguna editorial que haya publicado el libro Yvain,P5,"Flammarion, Larousse, Librairie Générale Française, Livre de Poche, Manchester University Press, Yale University Press",Penguin Classics,False
Dime alguna editorial que haya publicado el libro The way,P5,"Doubleday, Scepter, Scepter Publishers",HarperOne,False
Dime alguna editorial que haya publicado el libro Lecciones de asesinos expertos,P5,"La esfera cultural, Lulu.com",Dark Horse Comics,False
Dime alguna editorial que haya publicado el libro Collected Stories,P5,Penguin Random House,Ecco,False
Dime alguna editorial que haya publicado el libro Um imaginário europeu,P5,Caminho,Prestel,False
Dime alguna editorial que haya publicado el libro Personal Certainty,P5,Angelico Press,HarperOne,False
Dime alguna editorial que haya publicado el libro O mar que a gente faz,P5,Saída de Emergência Edições,Lunargenta,False
Dime alguna editorial que haya publicado el libro Gilliam on Gilliam (Directors on Directors),P5,Faber & Faber,Faber & Faber,True
Dime alguna editorial que haya publicado el libro Rozmowy zagraniczne 1979-2003,P5,Wydawnictwo Literackie,WIPRA,False
Dime alguna editorial que haya publicado el libro Großvater und die Schmuggler,P5,Hanser,Droemer Verlag,False
Dime alguna editorial que haya publicado el libro Sepharad '92,P5,[s.n.],Grijalbo,False
Dime alguna editorial que haya publicado el libro Norrlands akvavit,P5,"Norstedt, Norstedts",Norsteds Förlag,True
Dime alguna editorial que haya publicado el libro Thomas and Mary,P5,Penguin Random House,Simon & Schuster,False
Dime alguna editorial que haya publicado el libro Fractals,P5,"Films for the Humanities & Sciences, Spektrum",Doubleday,False
Dime alguna editorial que haya publicado el libro Judge Savage,P5,Penguin Random House,Tor Books,False
"Dime alguna editorial que haya publicado el libro Trial and Speeches of Alexander Berkman and Emma Goldman in the United States District Court, in the City of New York, July, 1917",P5,"Adamant Media Corporation, Creative Media Partners, LLC",Estes Publishing Co.,False
Dime alguna editorial que haya publicado el libro Dr Wächtersämmi und anderi Gschichte,P5,Sauerländer,Leithe Verlag,False
Dime alguna editorial que haya publicado el libro Az angol lobogó,P5,Magvető,Penguin Books,False
"Dime alguna editorial que haya publicado el libro Le Corbusier, voyages, royonnement international",P5,La Foundation,Reyron International,False
"Dime alguna editorial que haya publicado el libro Vegetation and Land Use in the Math.ews Range Area, Samburu-District, Kenya",P5,"Gebruder Borntraeger Verlagsbuchhandlung, Science Publishers",Elsevier,False
Dime alguna editorial que haya publicado el libro Grossvater und Halbbruder,P5,Ammann,Droemer Verlag,False
Dime alguna editorial que haya publicado el libro Alla de stillsamma döda,P5,Norstedts Pocket,Noras Förlag,False
