Tipo de pregunta,pregunta,respuesta correcta,primer prompt,segundo prompt,score
P2,"De qué país es el autor de la obra Andrés Avelino Cáceres, héroe de la resistencia?",Peru,,,0
P2,De qué país es el autor de la obra Cartas a Julieta (1950)?,Colombia,,,0
P2,De qué país es el autor de la obra Reserva Comunal Amarakaeri?,Peru,,,0
P2,De qué país es el autor de la obra La invención del tren fantasma?,Argentina,,,1
P2,De qué país es el autor de la obra Las almas del purgatorio?,Peru,,,0
P2,"De qué país es el autor de la obra Poemas, prosa y cuentos cortos?",Argentina,,,1
P2,De qué país es el autor de la obra El zoológico de Dios II?,Argentina,,,0
P2,De qué país es el autor de la obra El caso Bonapelch?,Uruguay,,,0
P2,De qué país es el autor de la obra Elegía a la muerte de Juan Ponce de León?,Venezuela,,,0
P2,"De qué país es el autor de la obra Mundo Perfecto, Un - Derecho a la Sanidad - 4?",Uruguay,,,0
P2,"De qué país es el autor de la obra Grandes éxitos, un cuento y una despedida?",Uruguay,,,0
P2,De qué país es el autor de la obra Los Cuentos de Chepe?,Venezuela,,,0
P2,De qué país es el autor de la obra Secretos de un jardín?,Uruguay,,,0
P2,De qué país es el autor de la obra Realidad Aparte (Spanish Edition)?,Uruguay,,,0
P2,De qué país es el autor de la obra Mapas Nocturnos - Dialogos Con La Obra Martin-Barb?,Colombia,,,0
P2,De qué país es el autor de la obra Buceo excitante en las entrañas del tango?,Argentina,,,1
P2,De qué país es el autor de la obra Abrir caminos?,Argentina,,,0
P2,De qué país es el autor de la obra El mundo según Cabrujas?,Venezuela,,,0
P2,De qué país es el autor de la obra Valizas?,Uruguay,,,0
P2,De qué país es el autor de la obra Miscelánea humanística?,Peru,,,0
P2,De qué país es el autor de la obra Bestiario Americano?,Ecuador,,,0
P2,De qué país es el autor de la obra A partir de ahora el combate será libre?,Paraguay,,,0
P2,De qué país es el autor de la obra 43 nuevos cri menes para resolver?,Argentina,,,0
P2,De qué país es el autor de la obra Veneno de escorpión azul?,Chile,,,0
P3,En cual año fue publicada la obra Pasajeros perdurables?,2006,,,0
P3,En cual año fue publicada la obra Daemon?,2022,,,0
P3,En cual año fue publicada la obra Pascua?,2014,,,0
P3,En cual año fue publicada la obra La contadora de películas?,2009,,,0
P3,En cual año fue publicada la obra Inmovilidad De Los Barcos (Coleccion Poesia # 73)?,1997,,,0
P3,En cual año fue publicada la obra Saca La Lengua?,1999,,,0
P3,En cual año fue publicada la obra Veneno de escorpión azul?,2007,,,1
P3,En cual año fue publicada la obra Segundo Anillo de Poder?,2015,,,0
P3,En cual año fue publicada la obra Sudoku Clasicos 2?,2006,,,0
P3,En cual año fue publicada la obra Antologia del Cuento Extrao 4?,1998,,,0
P3,En cual año fue publicada la obra Qué dicen los khipus?,2019,,,0
P3,En cual año fue publicada la obra Érase mi alma?,2009,,,0
P3,En cual año fue publicada la obra Cuentos Tradionales y Cuentos para la Nueva Generación?,2018,,,0
P3,En cual año fue publicada la obra El AÃ±o Que Rompi Contigo/the Year I Left You?,2003,,,0
P3,En cual año fue publicada la obra Porque Escribí?,1997,,,0
P3,En cual año fue publicada la obra Hotel en Shangri-La?,2011,,,0
P3,En cual año fue publicada la obra Mi cuerpo es una celda?,2008,,,0
P3,En cual año fue publicada la obra Uslar y lo alemán?,2012,,,0
P3,En cual año fue publicada la obra Olmedo?,2009,,,0
P3,En cual año fue publicada la obra Resistir Cholo?,2006,,,0
P3,En cual año fue publicada la obra El bosque sagrado?,2007,,,0
P3,En cual año fue publicada la obra Cómo llegar a ser japonés?,2010,,,0
P3,En cual año fue publicada la obra Erótica?,2015,,,0
P3,En cual año fue publicada la obra Catequesis Yerbiadas V - El Orden Sagrado?,2005,,,0
P3,En cual año fue publicada la obra El Pirata Pata de Palo (Primer Acto: Teatro Infantil y Juvenil) (Primer Acto: Teatro Infantil y Juvenil)?,1997,,,0
P3,En cual año fue publicada la obra Cantos de la man ana?,2003,,,0
P3,En cual año fue publicada la obra Princesa Llamada Zulia?,2019,,,0
P3,"En cual año fue publicada la obra Deseo, Mil Lágrimas?",2020,,,0
P3,En cual año fue publicada la obra La expulsión del paraíso?,2006,,,0
P3,En cual año fue publicada la obra Dulce animal de compañía?,2019,,,0
P3,En cual año fue publicada la obra Para qué leer?,2011,,,0
P3,En cual año fue publicada la obra ¡Comunista por siempre!?,2009,,,0
P3,En cual año fue publicada la obra El volver de las imágenes?,2008,,,0
P3,En cual año fue publicada la obra Martin Heidegger?,2004,,,0
P3,En cual año fue publicada la obra Teatro Completo 1?,2003,,,0
P3,En cual año fue publicada la obra Pinceladas musicales?,2019,,,0
P3,En cual año fue publicada la obra Maravillas pulgares?,2012,,,0
P3,En cual año fue publicada la obra Chile a ciegas?,2012,,,0
P3,En cual año fue publicada la obra Escrivisiones a partir de fotogravivas?,2011,,,0
P3,En cual año fue publicada la obra Aura latente?,2021,,,0
P3,En cual año fue publicada la obra Paraguay?,2011,,,0
P3,En cual año fue publicada la obra Poesía por mandato?,2014,,,0
P3,En cual año fue publicada la obra 1810?,2010,,,0
P3,En cual año fue publicada la obra Antologia Poetica - Elvio Romero?,1995,,,0
P3,En cual año fue publicada la obra Óscar y las mujeres?,2013,,,0
P3,En cual año fue publicada la obra Rêves et réalités / Sueños y realidades?,2005,,,0
P3,En cual año fue publicada la obra Riplay?,2015,,,0
P3,En cual año fue publicada la obra Conjurar a Babel?,2012,,,0
P3,En cual año fue publicada la obra Bilbao y el hallazgo de América Latina?,2012,,,0
P3,En cual año fue publicada la obra Una Vaca Querida / A Well-Loved Cow?,2001,,,0
P3,En cual año fue publicada la obra Cartas y lecturas de Eugenio Espejo?,2008,,,0
P3,En cual año fue publicada la obra Mujeres?,1993,,,0
P3,En cual año fue publicada la obra El ferrocarril invisible?,2009,,,0
P3,En cual año fue publicada la obra El orden de las letras?,2021,,,0
P3,En cual año fue publicada la obra Ajuste estructural de las finanzas públicas 1998-2004?,2005,,,0
P3,En cual año fue publicada la obra Angeles del miedo?,1988,,,0
P3,En cual año fue publicada la obra Historia de la organización electoral en Colombia (1888-2012)?,2013,,,0
P3,En cual año fue publicada la obra Prosa y circunstancia?,1999,,,0
P3,En cual año fue publicada la obra Derechos humanos y desarrollo?,2007,,,0
P3,En cual año fue publicada la obra Sospechosos en tránsito?,2017,,,0
P3,En cual año fue publicada la obra Fotografía en oscuro?,2008,,,0
P3,En cual año fue publicada la obra Caso Zapata?,2016,,,0
P3,En cual año fue publicada la obra La mujer de Ameghino : un inventario enloquecido de Buenos Aires?,2014,,,0
P3,En cual año fue publicada la obra Ñeenga raity?,2014,,,0
P3,En cual año fue publicada la obra Humor Idiota?,2004,,,0
P3,En cual año fue publicada la obra Pasión de papel?,2007,,,0
P3,En cual año fue publicada la obra Pie de atleta?,2002,,,0
P3,En cual año fue publicada la obra Años en el cuerpo?,2005,,,1
P3,En cual año fue publicada la obra Hienas?,2016,,,0
P3,En cual año fue publicada la obra Venezuela?,2011,,,0
P3,"En cual año fue publicada la obra Lenguas de Diamante, Las?",1999,,,0
P3,En cual año fue publicada la obra Inodoro Pereyra 10?,2005,,,0
P3,En cual año fue publicada la obra Cuentos en-red-@-dos?,2003,,,0
P3,En cual año fue publicada la obra El voto del agua tibia?,2017,,,0
P3,En cual año fue publicada la obra Rebelión?,2020,,,0
P3,En cual año fue publicada la obra Inodoro Pereyra 4?,2005,,,0
P3,En cual año fue publicada la obra El más absurdo de todos los personajes?,2010,,,0
P3,En cual año fue publicada la obra Al encuentro de las tres Marías?,2008,,,0
P3,En cual año fue publicada la obra Barcelona senza fine?,2011,,,0
P3,"En cual año fue publicada la obra Manuel José Yrarrázaval Larraín, 1835-1896?",2005,,,0
P3,En cual año fue publicada la obra El techo de la ballena?,2008,,,0
P3,En cual año fue publicada la obra El poeta que tocaba tambor?,2014,,,0
P3,En cual año fue publicada la obra El guardián de los recuerdos?,2012,,,0
P3,En cual año fue publicada la obra Oficio De Cartgrafo (Sociologia)?,2002,,,0
P3,En cual año fue publicada la obra La Fortuna?,2004,,,0
P3,En cual año fue publicada la obra Realidad Aparte (Spanish Edition)?,2015,,,0
P3,"En cual año fue publicada la obra Pedro Arévalo, Juan de Dios Agraz y Fernando Suárez?",2012,,,0
P3,"En cual año fue publicada la obra La Mesa Redonda sobre ""Todas las Sangres"" del 23 de junio de 1965?",2000,,,0
P3,En cual año fue publicada la obra De un lado y del otro?,2006,,,0
P3,En cual año fue publicada la obra Los invencibles?,2007,,,0
P3,En cual año fue publicada la obra Mundo perdido?,2010,,,0
P3,"En cual año fue publicada la obra Mensajeros del cosmos, Una Puerta hacia las Estrellas?",1999,,,0
P3,En cual año fue publicada la obra La cara oculta del cine?,2011,,,0
P3,En cual año fue publicada la obra Pirí?,2012,,,0
P3,En cual año fue publicada la obra Todo legal?,2022,,,0
P3,En cual año fue publicada la obra Estampas del candombe =?,2008,,,0
P3,En cual año fue publicada la obra Tratado de cielo para jóvenes poetas?,2008,,,0
P3,En cual año fue publicada la obra Controversia sobre las fiestas oficiales centro Andinas?,2019,,,0
P3,En cual año fue publicada la obra Uruguay en la mira del narco?,2021,,,0
P3,En cual año fue publicada la obra Los límites del milagro?,2014,,,0
P4,,,A qué categoría pertenece la obra Miguel Vicente Pata Caliente/Hot-Footed Miguel Vicente?,"Estas son las categorias a las que pertenece la obra: Infantil / Juvenil, Educación. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Pascua?,Estas son las categorias a las que pertenece la obra: Novela. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra Inventario Uno - 1976-1985 - Con CD?,Estas son las categorias a las que pertenece la obra: Poesía. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra Templos sagrados de Machupiqchu?,"Estas son las categorias a las que pertenece la obra: Historia, Religión. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Peruanos de ficción?,Estas son las categorias a las que pertenece la obra: Literatura / Estudios literarios. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra La Argentina agropecuaria?,"Estas son las categorias a las que pertenece la obra: Economía, Política. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Su casa es mi casa?,"Estas son las categorias a las que pertenece la obra: Ficción, Novela. ¿Respondiste bien? Responde con sí o no.",1
P4,,,A qué categoría pertenece la obra Los Chachapoyas?,Estas son las categorias a las que pertenece la obra: Historia. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra El diálogo infinito?,Estas son las categorias a las que pertenece la obra: Biografía / Autobiografía / Memorias. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra La espiral incesante?,Estas son las categorias a las que pertenece la obra: Literatura / Estudios literarios. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra El río y el mar?,Estas son las categorias a las que pertenece la obra: Biografía / Autobiografía / Memorias. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra El chavismo como problema?,Estas son las categorias a las que pertenece la obra: Política. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra Ballenas?,"Estas son las categorias a las que pertenece la obra: Literatura / Estudios literarios, Infantil / Juvenil. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Elaboracion del Proyecto Educativo Institucional?,"Estas son las categorias a las que pertenece la obra: Filosofía, Educación. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Desconfianza infinita?,Estas son las categorias a las que pertenece la obra: Política. ¿Respondiste bien? Responde con sí o no.,0
P4,,,"A qué categoría pertenece la obra Huilensidad, homenaje a los dos grandes maestros líricos?","Estas son las categorias a las que pertenece la obra: Sociología, Viajes. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Las dos patrias?,Estas son las categorias a las que pertenece la obra: Política. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra La carcel?,"Estas son las categorias a las que pertenece la obra: Ficción, Novela, Lengua / Lingüística. ¿Respondiste bien? Responde con sí o no.",0
P4,,,"A qué categoría pertenece la obra Poesia, De Sobremesa?","Estas son las categorias a las que pertenece la obra: Poesía, Literatura / Estudios literarios. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Las reglas del amor?,Estas son las categorias a las que pertenece la obra: Psicología. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra Reflexiones Para La Cuaresma?,"Estas son las categorias a las que pertenece la obra: Historia, Religión. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Los orígenes fundacionales de la villa de San Cristóbal y el antiguo corregimiento de Tunja?,Estas son las categorias a las que pertenece la obra: Historia. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra La leyenda insurgente?,Estas son las categorias a las que pertenece la obra: Historia. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra País de salida?,Estas son las categorias a las que pertenece la obra: Política. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra García Márquez?,Estas son las categorias a las que pertenece la obra: Biografía / Autobiografía / Memorias. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra La sombra?,"Estas son las categorias a las que pertenece la obra: Ficción, Historia. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Estudios de felicidad?,Estas son las categorias a las que pertenece la obra: Poesía. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra Por que seguir creyendo?,Estas son las categorias a las que pertenece la obra: Política. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra Leopardo al sol?,"Estas son las categorias a las que pertenece la obra: Novela, Ficción. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Pacheco?,Estas son las categorias a las que pertenece la obra: Política. ¿Respondiste bien? Responde con sí o no.,0
P4,,,"A qué categoría pertenece la obra Reloj no marques las horas, haz esta noche perpetua 1965-2014?",Estas son las categorias a las que pertenece la obra: Arte. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra Siempre en el camino?,Estas son las categorias a las que pertenece la obra: Biografía / Autobiografía / Memorias. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra El Negro de Paris?,Estas son las categorias a las que pertenece la obra: Infantil / Juvenil. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra Cantos de la man ana?,Estas son las categorias a las que pertenece la obra: Literatura / Estudios literarios. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra Los Poetas En La Republica Del Poder?,Estas son las categorias a las que pertenece la obra: Educación. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra La experiencia tupamara?,"Estas son las categorias a las que pertenece la obra: Historia, Política. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra El manuscrito de Huarochirí?,"Estas son las categorias a las que pertenece la obra: Religión, Lengua / Lingüística. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Otros Tiempos?,Estas son las categorias a las que pertenece la obra: Literatura / Estudios literarios. ¿Respondiste bien? Responde con sí o no.,0
P4,,,"A qué categoría pertenece la obra Seúl, São Paulo?",Estas son las categorias a las que pertenece la obra: Novela. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra La guerra (asimétrica) de Chávez?,Estas son las categorias a las que pertenece la obra: Política. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra Ilustración y emancipación en América Latina?,"Estas son las categorias a las que pertenece la obra: Sociología, Filosofía, Historia. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Dona Pinones (Coleccion Rimas Y Adivinanzas)?,"Estas son las categorias a las que pertenece la obra: Educación, Ficción, Infantil / Juvenil, Lengua / Lingüística. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Letras robadas?,"Estas son las categorias a las que pertenece la obra: Biografía / Autobiografía / Memorias, Ficción, Lengua / Lingüística, Infantil / Juvenil. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Ruperto Insiste!! - Nuevas Aventuras de Un Sapo Detective?,"Estas son las categorias a las que pertenece la obra: Cuento, Infantil / Juvenil. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Por Fin Solos / At Last Alone?,Estas son las categorias a las que pertenece la obra: Ficción. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra Fernando Botero?,"Estas son las categorias a las que pertenece la obra: Literatura / Estudios literarios, Arte, Biografía / Autobiografía / Memorias. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Chile a ciegas?,Estas son las categorias a las que pertenece la obra: Política. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra Correspondencia entre José María Arguedas y Juan Mejía Baca en la Biblioteca Nacional?,Estas son las categorias a las que pertenece la obra: Biografía / Autobiografía / Memorias. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra Querido Pedro?,Estas son las categorias a las que pertenece la obra: Biografía / Autobiografía / Memorias. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra Los olvidados del bicentenario?,Estas son las categorias a las que pertenece la obra: Historia. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra Los Inkas?,"Estas son las categorias a las que pertenece la obra: Historia, Sociología. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Oficio De Cartgrafo (Sociologia)?,Estas son las categorias a las que pertenece la obra: Sociología. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra Norberto Bobbio?,"Estas son las categorias a las que pertenece la obra: Política, Filosofía. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Mapa de un engaño?,Estas son las categorias a las que pertenece la obra: Historia. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra El país de la sopa dura?,Estas son las categorias a las que pertenece la obra: Sociología. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra Diálogos del porvenir?,Estas son las categorias a las que pertenece la obra: Poesía. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra Emilia Bertolé?,Estas son las categorias a las que pertenece la obra: Arte. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra Costado indio?,"Estas son las categorias a las que pertenece la obra: Literatura / Estudios literarios, Poesía. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Un Viejo Que Leia Novelas de Amor?,Estas son las categorias a las que pertenece la obra: Ficción. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra Los muros del silencio?,Estas son las categorias a las que pertenece la obra: Biografía / Autobiografía / Memorias. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra La Flor de Lis with CD (Audio)?,Estas son las categorias a las que pertenece la obra: Poesía. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra Bolivia?,"Estas son las categorias a las que pertenece la obra: Literatura / Estudios literarios, Sociología, Política, Economía. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra El Romancero sefardí de Máximo José Kahn?,Estas son las categorias a las que pertenece la obra: Literatura / Estudios literarios. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra Regreso?,"Estas son las categorias a las que pertenece la obra: Viajes, Ficción. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Carlos Páez Vilaró?,"Estas son las categorias a las que pertenece la obra: Biografía / Autobiografía / Memorias, Arte. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Contribución histórica a los bicentenarios de Bolivia?,"Estas son las categorias a las que pertenece la obra: Biografía / Autobiografía / Memorias, Historia. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Ariel?,"Estas son las categorias a las que pertenece la obra: Ensayo, Política, Sociología, Ficción, Lengua / Lingüística. ¿Respondiste bien? Responde con sí o no.",0
P4,,,"A qué categoría pertenece la obra Cia Perú, 1985?","Estas son las categorias a las que pertenece la obra: Ficción, Política. ¿Respondiste bien? Responde con sí o no.",1
P4,,,A qué categoría pertenece la obra Los últimos días del Graf Spee?,"Estas son las categorias a las que pertenece la obra: Ficción, Historia. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Folklore duro?,"Estas son las categorias a las que pertenece la obra: Arte, Literatura / Estudios literarios, Historia. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra La Bachué de Rómulo Rozo?,"Estas son las categorias a las que pertenece la obra: Literatura / Estudios literarios, Arte. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Cantos/Cuentos Colombianos?,Estas son las categorias a las que pertenece la obra: Arte. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra El robo de Proserpina y sueño de Endimión?,"Estas son las categorias a las que pertenece la obra: Teatro, Literatura / Estudios literarios, Lengua / Lingüística. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra La pantalla letrada?,"Estas son las categorias a las que pertenece la obra: Arte, Historia. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra El general y el almirante?,"Estas son las categorias a las que pertenece la obra: Biografía / Autobiografía / Memorias, Historia. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Sensibilidad de frontera?,"Estas son las categorias a las que pertenece la obra: Comunicación, Sociología. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Lengua erotica?,"Estas son las categorias a las que pertenece la obra: Poesía, Lengua / Lingüística. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra LA Vaca Roja?,"Estas son las categorias a las que pertenece la obra: Educación, Cuento, Infantil / Juvenil. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Fragmentos de un diario?,"Estas son las categorias a las que pertenece la obra: Arte, Biografía / Autobiografía / Memorias. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Guillermo Chifflet?,Estas son las categorias a las que pertenece la obra: Política. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra Logoi?,Estas son las categorias a las que pertenece la obra: Lengua / Lingüística. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra Vanguardistas?,"Estas son las categorias a las que pertenece la obra: Literatura / Estudios literarios, Arte, Historia. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Chicha peruana?,Estas son las categorias a las que pertenece la obra: Sociología. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra Autobiografia I?,Estas son las categorias a las que pertenece la obra: Biografía / Autobiografía / Memorias. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra Hegemonia e imperio?,Estas son las categorias a las que pertenece la obra: Política. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra La cacería del caballero?,"Estas son las categorias a las que pertenece la obra: Biografía / Autobiografía / Memorias, Economía. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra El Chile que no queremos?,"Estas son las categorias a las que pertenece la obra: Política, Sociología. ¿Respondiste bien? Responde con sí o no.",0
P4,,,"A qué categoría pertenece la obra Bolívar, libertador y enemigo N° 1 del Perú?",Estas son las categorias a las que pertenece la obra: Historia. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra Los imperios y el imperio?,"Estas son las categorias a las que pertenece la obra: Política, Historia. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Hombres y engranajes?,"Estas son las categorias a las que pertenece la obra: Tecnología, Filosofía. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Música prosaica (cuatro piezas sobre traducción)?,"Estas son las categorias a las que pertenece la obra: Biografía / Autobiografía / Memorias, Lengua / Lingüística. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Genaro?,"Estas son las categorias a las que pertenece la obra: Comunicación, Biografía / Autobiografía / Memorias, Historia. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra El Papa Francisco?,"Estas son las categorias a las que pertenece la obra: Biografía / Autobiografía / Memorias, Religión. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Arte del siglo XX?,Estas son las categorias a las que pertenece la obra: Arte. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra La Sombra de Osiris?,"Estas son las categorias a las que pertenece la obra: Cuento, Infantil / Juvenil. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Jorge Miño?,Estas son las categorias a las que pertenece la obra: Arte. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra La otra isla?,Estas son las categorias a las que pertenece la obra: Novela. ¿Respondiste bien? Responde con sí o no.,0
P4,,,A qué categoría pertenece la obra La Silla que Perdio una Pata?,"Estas son las categorias a las que pertenece la obra: Infantil / Juvenil, Educación. ¿Respondiste bien? Responde con sí o no.",0
P4,,,"A qué categoría pertenece la obra Mérida, 100 años de cine, 1894-1994?","Estas son las categorias a las que pertenece la obra: Arte, Historia. ¿Respondiste bien? Responde con sí o no.",0
P4,,,A qué categoría pertenece la obra Baba?,Estas son las categorias a las que pertenece la obra: Poesía. ¿Respondiste bien? Responde con sí o no.,0
P5,,,Dime alguna editorial que haya publicado la obra Reminiscencias de dos ferias del libro?,Estas son las editoriales que han publicado la obra: Editorial Temis. ¿Respondiste bien? Responde con sí o no.,1
P5,,,Dime alguna editorial que haya publicado la obra Letra en la piedra?,Estas son las editoriales que han publicado la obra: Loca edición. ¿Respondiste bien? Responde con sí o no.,1
P5,,,Dime alguna editorial que haya publicado la obra Un Hombre de Edad Media - Antes del Olvido II?,Estas son las editoriales que han publicado la obra: Sudamericana. ¿Respondiste bien? Responde con sí o no.,1
P5,,,Dime alguna editorial que haya publicado la obra Vendrá la muerte y tendrá tus ojos?,Estas son las editoriales que han publicado la obra: Plural Editores. ¿Respondiste bien? Responde con sí o no.,1
P5,,,Dime alguna editorial que haya publicado la obra Todo el amor en sus ojos?,Estas son las editoriales que han publicado la obra: LOM Ediciones. ¿Respondiste bien? Responde con sí o no.,1
P5,,,Dime alguna editorial que haya publicado la obra Una democracia única?,Estas son las editoriales que han publicado la obra: Fin De Siglo Editorial. ¿Respondiste bien? Responde con sí o no.,1
P5,,,Dime alguna editorial que haya publicado la obra Sabueso de Los Baskerville (Spanish Edition)?,Estas son las editoriales que han publicado la obra: CreateSpace Independent Publishing Platform. ¿Respondiste bien? Responde con sí o no.,1
P5,,,Dime alguna editorial que haya publicado la obra Alfonsina Storni?,Estas son las editoriales que han publicado la obra: Aguilar. ¿Respondiste bien? Responde con sí o no.,1
